ticket_id,fecha_hora,cliente,plan,canal,categoria,prioridad,sla_objetivo_min,tiempo_primera_respuesta_min,cumple_sla,accion,resuelto_por,estado,csat
T-1006,2026-08-02T05:56:00,Silverline Payments,Starter,Email,Solicitud de feature,Baja,2880,620,True,Revision manual,Mixto,Reabierto,
T-1004,2026-08-02T08:00:00,Kepler Tech,Enterprise,Email,Facturacion,Media,240,210,True,Revision manual,Humano,Resuelto,3
T-1005,2026-08-02T11:10:00,Lumen Labs,Growth,Email,Solicitud de feature,Baja,1440,1147,True,Escalado a ingenieria,Humano,Resuelto,5
T-1003,2026-08-02T12:16:00,Cobalt Energy,Starter,Chat,Pregunta de uso,Media,1440,1245,True,Respuesta automatica (IA),IA,En progreso,
T-1002,2026-08-02T12:48:00,Novo Analytics,Growth,Email,Pregunta de uso,Baja,1440,1885,False,Respuesta automatica (IA),IA,En progreso,
T-1001,2026-08-02T14:09:00,Pinnacle Health,Enterprise,Formulario,Error o bug,Media,240,85,True,Escalado a ingenieria,Humano,Resuelto,3
T-1013,2026-08-03T00:24:00,Vantra Payments,Enterprise,Email,Solicitud de feature,Baja,480,384,True,Escalado a ingenieria,Humano,Reabierto,
T-1012,2026-08-03T05:34:00,Quartz Labs,Starter,Chat,Pregunta de uso,Baja,2880,2748,True,Revision manual,Mixto,Resuelto,4
T-1020,2026-08-03T05:40:00,Vertex Media,Starter,Formulario,Pregunta de uso,Media,1440,547,True,Respuesta automatica (IA),IA,En progreso,
T-1015,2026-08-03T06:04:00,Cobalt Retail,Starter,Formulario,Incidente critico,Critica,60,21,True,Alerta a on-call,Mixto,Resuelto,4
T-1011,2026-08-03T07:12:00,Nimbus Ventures,Starter,Formulario,Incidente critico,Alta,240,432,False,Respuesta automatica (IA),IA,Resuelto,4
T-1019,2026-08-03T07:35:00,Nimbus Ventures,Starter,Email,Solicitud de feature,Media,1440,2244,False,Respuesta automatica (IA),IA,Resuelto,2
